"latitude","longitude","brightness","scan","track","acq_date","acq_time","satellite","instrument","confidence","version","bright_t31","frp","daynight","type","source","raw_row","easting_m","northing_m","month"
-1.08617,114.0807,348.88,0.39,0.36,2026-04-21,"0554","SNPP","SNPP","n","2",297.14,9.51,"D",0,"archive",19447,175071.513881459,9879788.41740745,"2026-04"
-1.26728,114.3149,305.1,0.39,0.36,2026-04-23,"1758","SNPP","SNPP","n","2",291.22,1.16,"N",0,"archive",19865,201178.160062037,9859772.30903288,"2026-04"
-1.48139,114.58222,311.8,0.4,0.37,2026-04-23,"1758","SNPP","SNPP","n","2",290.37,2.52,"N",0,"archive",19866,230970.651984822,9836114.71767261,"2026-04"
-1.9625,114.36824,334.25,0.44,0.46,2026-04-25,"0619","SNPP","SNPP","n","2",289.47,2.98,"D",0,"archive",20160,207218.20124908,9782853.53820666,"2026-04"
-1.1193,114.19456,340.86,0.44,0.46,2026-04-25,"0620","SNPP","SNPP","n","2",290.65,5.32,"D",0,"archive",20171,187758.399112257,9876134.14441764,"2026-04"
-1.32543,114.29467,338.72,0.39,0.37,2026-04-26,"0601","SNPP","SNPP","n","2",300.91,4.9,"D",0,"archive",20372,198931.986580161,9853335.39568943,"2026-04"
-1.31618,114.24249,346.08,0.39,0.36,2026-04-26,"0601","SNPP","SNPP","n","2",300.86,8.78,"D",0,"archive",20373,193119.425701133,9854352.58275854,"2026-04"
-1.08505,114.04805,331.51,0.39,0.36,2026-04-26,"0601","SNPP","SNPP","n","2",299.23,2.04,"D",0,"archive",20384,171434.111707844,9879908.8411459,"2026-04"
-1.47981,114.58162,304.87,0.55,0.42,2026-05-03,"1813","SNPP","SNPP","n","2.0NRT",289.64,1.65,"N",NA,"nrt",491,230903.658619373,9836289.43990923,"2026-05"
-1.47835,114.58096,305.51,0.39,0.44,2026-05-05,"1734","SNPP","SNPP","n","2.0NRT",286.13,0.81,"N",NA,"nrt",736,230829.999525667,9836450.87941239,"2026-05"
-1.47913,114.58037,302.17,0.41,0.61,2026-05-06,"1715","SNPP","SNPP","n","2.0NRT",279.77,1.3,"N",NA,"nrt",883,230764.404232415,9836364.5164449,"2026-05"
-1.78814,114.30718,329.04,0.39,0.36,2026-05-07,"0555","SNPP","SNPP","n","2.0NRT",294.81,2.29,"D",NA,"nrt",942,200390.644809495,9802136.34174638,"2026-05"
-1.4808,114.58092,306.44,0.38,0.36,2026-05-20,"1754","SNPP","SNPP","n","2.0NRT",287.62,0.46,"N",NA,"nrt",2220,230825.841670704,9836179.83128257,"2026-05"
-1.51756,114.39136,307.5,0.4,0.44,2026-05-21,"1734","SNPP","SNPP","n","2.0NRT",288.92,3.14,"N",NA,"nrt",2377,209723.9735763,9832088.53439948,"2026-05"
-2.76392,114.37402,335.29,0.39,0.36,2026-05-28,"0601","SNPP","SNPP","n","2.0NRT",294.1,4.04,"D",NA,"nrt",3137,208029.377923956,9694178.60891154,"2026-05"
-1.98624,114.47719,347.79,0.37,0.58,2026-06-06,"0633","SNPP","SNPP","n","2.0NRT",291.99,6.76,"D",NA,"nrt",5398,219350.856231203,9780245.66306541,"2026-06"
-1.9868,114.47378,332.5,0.37,0.58,2026-06-06,"0633","SNPP","SNPP","n","2.0NRT",291.43,4.38,"D",NA,"nrt",5399,218971.359822212,9780183.1249489,"2026-06"
-1.98414,114.47513,367,0.37,0.58,2026-06-06,"0633","SNPP","SNPP","h","2.0NRT",292.76,10.3,"D",NA,"nrt",5400,219121.188296658,9780477.6551648,"2026-06"
-1.47968,114.57832,305.01,0.55,0.43,2026-06-20,"1813","SNPP","SNPP","n","2.0NRT",288.14,1,"N",NA,"nrt",8946,230536.227727556,9836303.42081631,"2026-06"
-1.28923,114.25896,306.95,0.39,0.36,2026-06-21,"1754","SNPP","SNPP","n","2.0NRT",290.16,0.61,"N",NA,"nrt",9249,194950.52130836,9857336.83780473,"2026-06"
-1.51696,114.39378,307.31,0.39,0.36,2026-06-21,"1754","SNPP","SNPP","n","2.0NRT",286.28,0.86,"N",NA,"nrt",9261,209993.365631243,9832155.24692792,"2026-06"
-1.48012,114.57851,300.79,0.4,0.6,2026-06-23,"1715","SNPP","SNPP","n","2.0NRT",280.28,0.4,"N",NA,"nrt",9745,230557.435124046,9836254.76667068,"2026-06"
-1.52976,114.26071,330.77,0.39,0.36,2026-06-24,"0555","SNPP","SNPP","n","2.0NRT",299.36,2.14,"D",NA,"nrt",9885,195176.753409838,9830720.51213317,"2026-06"
-0.91777,113.8175,325.59,0.39,0.36,2026-06-24,"0555","SNPP","SNPP","n","2.0NRT",285.39,2.32,"D",NA,"nrt",9898,145729.205565071,9898401.03338655,"2026-06"
-1.18972,114.22942,340.74,0.4,0.44,2026-06-25,"0538","SNPP","SNPP","n","2.0NRT",296.69,6.29,"D",NA,"nrt",10028,191648.931221285,9868345.11769688,"2026-06"
-1.18564,114.22881,340.84,0.4,0.44,2026-06-25,"0538","SNPP","SNPP","n","2.0NRT",293.13,6.29,"D",NA,"nrt",10029,191580.535135034,9868796.54504715,"2026-06"
-1.42422,114.61935,303.61,0.46,0.47,2026-06-25,"1819","SNPP","SNPP","n","2.0NRT",290.17,0.57,"N",NA,"nrt",10229,235097.896651838,9842443.72734815,"2026-06"
-1.48094,114.57732,305.23,0.46,0.47,2026-06-25,"1819","SNPP","SNPP","n","2.0NRT",290.03,1,"N",NA,"nrt",10230,230425.041966057,9836163.90514313,"2026-06"
-1.16919,114.17462,332.13,0.47,0.64,2026-06-27,"0640","SNPP","SNPP","n","2.0NRT",290.22,3.04,"D",NA,"nrt",10805,185542.741282195,9870610.89326547,"2026-06"
-2.20007,114.38851,334.36,0.49,0.4,2026-06-30,"0544","SNPP","SNPP","n","2.0NRT",290.17,4.18,"D",NA,"nrt",11879,209518.345616866,9756570.69433695,"2026-06"
-1.48108,114.57964,309.81,0.45,0.39,2026-07-01,"1809","SNPP","SNPP","n","2.0NRT",291.11,1.26,"N",NA,"nrt",12304,230683.363049425,9836148.69925171,"2026-07"
-1.5185,114.39401,306.87,0.42,0.37,2026-07-02,"1747","SNPP","SNPP","n","2.0NRT",286.23,0.78,"N",NA,"nrt",12607,210019.18200831,9831984.88316063,"2026-07"
-1.51506,114.39454,303.31,0.42,0.37,2026-07-02,"1747","SNPP","SNPP","n","2.0NRT",285.73,0.49,"N",NA,"nrt",12608,210077.740043479,9832365.57593747,"2026-07"
-1.48211,114.58145,306.57,0.41,0.37,2026-07-02,"1747","SNPP","SNPP","n","2.0NRT",289.52,0.55,"N",NA,"nrt",12617,230885.008951512,9836034.97057237,"2026-07"
-1.47869,114.58199,309.77,0.41,0.37,2026-07-02,"1747","SNPP","SNPP","n","2.0NRT",289.43,0.58,"N",NA,"nrt",12618,230944.718529006,9836413.39023559,"2026-07"
-1.42525,114.62063,306.53,0.41,0.37,2026-07-02,"1747","SNPP","SNPP","n","2.0NRT",288.9,1.01,"N",NA,"nrt",12622,235240.526229372,9842329.92913676,"2026-07"
-1.29102,114.25925,307.86,0.42,0.38,2026-07-02,"1747","SNPP","SNPP","n","2.0NRT",287.32,0.77,"N",NA,"nrt",12623,194983.033592322,9857138.7949322,"2026-07"
-1.78704,114.30914,325.43,0.54,0.68,2026-07-07,"0514","SNPP","SNPP","n","2.0NRT",291.69,3.68,"D",NA,"nrt",15066,200608.701745623,9802258.38101155,"2026-07"
-1.12744,114.43144,327.78,0.52,0.67,2026-07-07,"0514","SNPP","SNPP","n","2.0NRT",289.79,11.6,"D",NA,"nrt",15075,214142.20796299,9875257.70367535,"2026-07"
-1.12818,114.42671,367,0.52,0.67,2026-07-07,"0514","SNPP","SNPP","h","2.0NRT",290.97,11.6,"D",NA,"nrt",15076,213615.517660338,9875175.36267265,"2026-07"
-1.13313,114.43078,334.29,0.52,0.67,2026-07-07,"0514","SNPP","SNPP","n","2.0NRT",290.07,6.85,"D",NA,"nrt",15077,214069.26355018,9874628.08376547,"2026-07"
-1.47998,114.57953,303.46,0.38,0.36,2026-07-07,"1754","SNPP","SNPP","n","2.0NRT",283.53,1.12,"N",NA,"nrt",15227,230670.982971606,9836270.37889681,"2026-07"
-1.51478,114.39374,301.71,0.39,0.36,2026-07-07,"1754","SNPP","SNPP","n","2.0NRT",283.19,0.72,"N",NA,"nrt",15228,209988.621093829,9832396.44958879,"2026-07"
-1.75746,114.37367,340.43,0.37,0.58,2026-07-08,"0633","SNPP","SNPP","n","2.0NRT",296.27,5.42,"D",NA,"nrt",15722,207788.933765105,9805541.74978815,"2026-07"
-1.75521,114.37185,331.86,0.37,0.58,2026-07-08,"0633","SNPP","SNPP","n","2.0NRT",295.18,4.74,"D",NA,"nrt",15723,207585.943677496,9805790.42269924,"2026-07"
-1.22466,114.13833,350.93,0.36,0.58,2026-07-08,"0633","SNPP","SNPP","n","2.0NRT",294.01,5.41,"D",NA,"nrt",15748,181506.811450457,9864467.96762276,"2026-07"
-1.47797,114.58023,302.92,0.39,0.44,2026-07-08,"1737","SNPP","SNPP","n","2.0NRT",291.34,0.52,"N",NA,"nrt",15860,230748.676990554,9836492.83020109,"2026-07"
