"r","observed","lower","upper","reference"
7.3,13.2779456624473,-0.039034503219546,0.0609719493278531,"CSR"
7.4,13.298605240979,-0.0399652275659799,0.0634494759870412,"CSR"
7.5,13.319394486861,-0.0410212827572458,0.0650351072674473,"CSR"
7.6,13.3421596884936,-0.0412043398718751,0.0680135961114861,"CSR"
7.7,13.3647543245266,-0.0420583272879735,0.0681390228506942,"CSR"
7.8,13.3867120460304,-0.0424601871143038,0.0674103623748818,"CSR"
7.9,13.4110283342558,-0.0449593905177466,0.0688275884869798,"CSR"
8,13.4330861945122,-0.0472669954691618,0.0680342205946847,"CSR"
8.1,13.4560007200928,-0.0477377632146112,0.0682543927251142,"CSR"
8.2,13.4801024236098,-0.048174847847223,0.0701388650885324,"CSR"
8.3,13.50434421189,-0.0492332669746993,0.0712612145248013,"CSR"
8.4,13.5284282455018,-0.0497228919064003,0.0692346482505855,"CSR"
8.5,13.5549093762014,-0.0518245150946068,0.0715817126432903,"CSR"
8.6,13.5780527697505,-0.0531597735915508,0.0742730222528554,"CSR"
8.7,13.6034761865629,-0.053127947054092,0.0750293031032214,"CSR"
8.8,13.6294566616982,-0.0537587540080011,0.0731381875968449,"CSR"
8.9,13.6549045925971,-0.0535619617818615,0.075426751208175,"CSR"
9,13.6819618240848,-0.0533862565325958,0.0780080029333661,"CSR"
9.1,13.7084078174641,-0.0536901822845568,0.0792135152584894,"CSR"
9.2,13.7356537032477,-0.0537238790073644,0.0794234126603861,"CSR"
9.3,13.7645754364245,-0.0543867890506,0.0794326231587856,"CSR"
9.4,13.7926184137768,-0.0549550454905638,0.0810989586420927,"CSR"
9.5,13.8240427561789,-0.0532767154654135,0.0845972926690486,"CSR"
9.6,13.8546924349093,-0.0529204103533356,0.0863966735072061,"CSR"
9.7,13.8837248656169,-0.0522412281554789,0.0875020685755903,"CSR"
9.8,13.9166976175896,-0.0539326921889973,0.0875859707586315,"CSR"
9.9,13.9492372476408,-0.0555898600782072,0.087538401667457,"CSR"
10,13.980675358292,-0.0578640300493696,0.0891551938285069,"CSR"
0,0,0,0,"Inhomogeneous reference"
0.1,0.495381348764093,-0.0350610185708396,0.0919530011533478,"Inhomogeneous reference"
0.2,0.800728599107235,-0.0557387583999449,0.147310444028865,"Inhomogeneous reference"
0.3,1.06645964499697,-0.0615810910982646,0.141931365801141,"Inhomogeneous reference"
0.4,1.38972963386873,-0.0624496501540791,0.114545097165584,"Inhomogeneous reference"
0.5,1.69830608149231,-0.0738655931239824,0.0806506026424648,"Inhomogeneous reference"
0.6,1.8507825668373,-0.0865312089936047,0.0810156022100461,"Inhomogeneous reference"
0.7,2.00045227834816,-0.0864243592531051,0.0862666897224021,"Inhomogeneous reference"
0.8,2.08439484409436,-0.0919217358570096,0.0678031023589996,"Inhomogeneous reference"
0.9,2.16846872289382,-0.0981547993672399,0.0592041821216919,"Inhomogeneous reference"
1,2.26054832527046,-0.106470890485852,0.0391224903742096,"Inhomogeneous reference"
1.1,2.31768930065395,-0.103580894671688,0.0303246656457723,"Inhomogeneous reference"
1.2,2.35948383935649,-0.118787035122118,0.0320810389788384,"Inhomogeneous reference"
